Country,Name,Latitude,Longitude,Unit,Type,Model,Net Capacity /MW,Gross Capacity /MW
Argentina,Atucha,-33.967222222222226,-59.2075,1,PHWR,Siemens-KWU,335,362
Argentina,Atucha,-33.967222222222226,-59.2075,2,PHWR,Siemens-KWU,692,745
Argentina,Embalse,-32.232,-64.443,1,PHWR,CANDU-6,600,648
Armenia,Metsamor,40.18084444444444,44.14890833333333,2,PWR,VVER-440 V-270,375,408
Belgium,Doel,51.32472222222223,4.258611111111111,1,PWR,"WH, 2 loops",433,454
Belgium,Doel,51.32472222222223,4.258611111111111,2,PWR,"WH, 2 loops",433,454
Belgium,Doel,51.32472222222223,4.258611111111111,3,PWR,"Framatome, 3-loops",1006,1056
Belgium,Doel,51.32472222222223,4.258611111111111,4,PWR,"Belgian firms plus WH, 3 loops",1039,1090
Belgium,Tihange,50.53462777777778,5.2725333333333335,1,PWR,"Framatome, 3 loops",962,1009
Belgium,Tihange,50.53462777777778,5.2725333333333335,2,PWR,"Framatome, 3-loops",1008,1055
Belgium,Tihange,50.53462777777778,5.2725333333333335,3,PWR,"Belgian firms plus WH, 3 loops",1046,1089
Brazil,Angra,-23.008333333333333,-44.45722222222223,1,PWR,Westinghouse (WH) 2 loops,609,640
Brazil,Angra,-23.008333333333333,-44.45722222222223,2,PWR,Pre-Konvoi [de],1275,1350
Bulgaria,Kozloduy,43.74611111111111,23.770555555555553,5,PWR,VVER-1000/V-320,963,1000
Bulgaria,Kozloduy,43.74611111111111,23.770555555555553,6,PWR,VVER-1000/V-320,963,1000
Canada,Pickering,43.81166666666666,-79.06583333333333,1,PHWR,CANDU,515,542
Canada,Pickering,43.81166666666666,-79.06583333333333,4,PHWR,CANDU,515,542
Canada,Pickering,43.81166666666666,-79.06583333333333,5,PHWR,CANDU,516,540
Canada,Pickering,43.81166666666666,-79.06583333333333,6,PHWR,CANDU,516,540
Canada,Pickering,43.81166666666666,-79.06583333333333,7,PHWR,CANDU,516,540
Canada,Pickering,43.81166666666666,-79.06583333333333,8,PHWR,CANDU,516,540
Canada,Darlington,43.87277777777778,-78.71972222222223,1,PHWR,CANDU,878,934
Canada,Darlington,43.87277777777778,-78.71972222222223,2,PHWR,CANDU,878,934
Canada,Darlington,43.87277777777778,-78.71972222222223,3,PHWR,CANDU,878,934
Canada,Darlington,43.87277777777778,-78.71972222222223,4,PHWR,CANDU,878,934
Canada,Bruce,44.32527777777778,-81.59944444444444,1,PHWR,CANDU,750,805
Canada,Bruce,44.32527777777778,-81.59944444444444,2,PHWR,CANDU,750,805
Canada,Bruce,44.32527777777778,-81.59944444444444,3,PHWR,CANDU,750,805
Canada,Bruce,44.32527777777778,-81.59944444444444,4,PHWR,CANDU,750,805
Canada,Bruce,44.32527777777778,-81.59944444444444,5,PHWR,CANDU,795,845
Canada,Bruce,44.32527777777778,-81.59944444444444,6,PHWR,CANDU,822,872
Canada,Bruce,44.32527777777778,-81.59944444444444,7,PHWR,CANDU,822,872
Canada,Bruce,44.32527777777778,-81.59944444444444,8,PHWR,CANDU,795,845
Canada,Point Lepreau,45.06888888888889,-66.45472222222223,1,PHWR,CANDU,635,660
China,Changjiang,19.46075,108.89991666666667,I-1,PWR,CNP-600,610,650
China,Changjiang,19.46075,108.89991666666667,I-2,PWR,CNP-600,610,650
China,Daya Bay (Guangdong),22.59722222222222,114.54444444444444,1,PWR,M-310,944,984
China,Daya Bay (Guangdong),22.59722222222222,114.54444444444444,2,PWR,M-310,944,984
China,Fangchenggang,21.670833333333334,108.55833333333334,1,PWR,CPR-1000,1000,1080
China,Fangchenggang,21.670833333333334,108.55833333333334,2,PWR,CPR-1000,1000,1080
China,Fangjiashan,30.441342,120.941758,1,PWR,CPR-1000,1000,1080
China,Fangjiashan,30.441342,120.941758,2,PWR,CPR-1000,1000,1080
